stadium_name,week_number,average_temperature
Lambeau Field,2,-4.4
Lambeau Field,3,-15.69
Lambeau Field,4,-0.01
Lambeau Field,5,0.0
Lambeau Field,6,1.27
Lambeau Field,7,-2.51
Lambeau Field,8,0.54
Lambeau Field,9,2.76
Lambeau Field,10,2.73
Lambeau Field,11,5.83
Lambeau Field,12,-1.5
Lambeau Field,13,2.9
Lambeau Field,14,2.81
Lambeau Field,15,11.13
Lambeau Field,16,8.3
Lambeau Field,17,9.71
Lambeau Field,18,13.51
Lambeau Field,19,13.46
Lambeau Field,20,15.94
Lambeau Field,21,17.19
Lambeau Field,22,16.01
Lambeau Field,23,18.76
Lambeau Field,24,19.64
Lambeau Field,25,22.47
Lambeau Field,26,20.39
Lambeau Field,27,19.81
Lambeau Field,28,22.97
Lambeau Field,29,21.41
Lambeau Field,30,20.91
Lambeau Field,31,24.73
Lambeau Field,32,18.99
Lambeau Field,33,21.11
Lambeau Field,34,19.31
Lambeau Field,35,22.14
Lambeau Field,36,16.76
Lambeau Field,37,21.19
Lambeau Field,38,21.01
Lambeau Field,39,16.91
Lambeau Field,40,15.57
Lambeau Field,41,11.7
Lambeau Field,42,10.76
Lambeau Field,43,11.93
Lambeau Field,44,11.64
Lambeau Field,45,10.13
Lambeau Field,46,6.91
Lambeau Field,47,5.56
Lambeau Field,48,-3.21
Lambeau Field,49,-2.5
Lambeau Field,50,-4.57
Lambeau Field,51,-3.96
Lambeau Field,52,-0.81
Levi's Stadium,1,9.37
Levi's Stadium,2,8.71
Levi's Stadium,3,12.09
Levi's Stadium,4,13.04
Levi's Stadium,5,12.69
Levi's Stadium,6,9.14
Levi's Stadium,7,11.71
Levi's Stadium,8,12.41
Levi's Stadium,9,10.8
Levi's Stadium,10,11.01
Levi's Stadium,11,12.83
Levi's Stadium,12,12.71
Levi's Stadium,13,11.53
Levi's Stadium,14,11.03
Levi's Stadium,15,13.74
Levi's Stadium,16,14.97
Levi's Stadium,17,14.83
Levi's Stadium,18,14.06
Levi's Stadium,19,17.41
Levi's Stadium,20,16.5
Levi's Stadium,21,16.27
Levi's Stadium,22,18.14
Levi's Stadium,23,20.17
Levi's Stadium,24,19.36
Levi's Stadium,25,19.13
Levi's Stadium,26,20.53
Levi's Stadium,27,24.54
Levi's Stadium,28,21.74
Levi's Stadium,29,20.37
Levi's Stadium,30,21.97
Levi's Stadium,31,19.56
Levi's Stadium,32,19.9
Levi's Stadium,33,20.06
Levi's Stadium,34,20.03
Levi's Stadium,35,20.66
Levi's Stadium,36,20.67
Levi's Stadium,37,18.73
Levi's Stadium,38,17.73
Levi's Stadium,39,20.36
Levi's Stadium,40,26.96
Levi's Stadium,41,21.03
Levi's Stadium,42,18.34
Levi's Stadium,43,17.33
Levi's Stadium,44,13.74
Levi's Stadium,45,14.86
Levi's Stadium,46,11.11
Levi's Stadium,47,12.84
Levi's Stadium,48,9.71
Levi's Stadium,49,11.96
Levi's Stadium,50,10.17
Levi's Stadium,51,10.64
Levi's Stadium,52,13.23
Lincoln Financial Field,1,3.52
Lincoln Financial Field,2,5.26
Lincoln Financial Field,3,-4.33
Lincoln Financial Field,4,4.94
Lincoln Financial Field,5,3.34
Lincoln Financial Field,6,4.47
Lincoln Financial Field,7,1.54
Lincoln Financial Field,8,1.73
Lincoln Financial Field,9,7.9
Lincoln Financial Field,10,8.43
Lincoln Financial Field,11,11.96
Lincoln Financial Field,12,4.51
Lincoln Financial Field,13,7.84
Lincoln Financial Field,14,7.91
Lincoln Financial Field,15,14.43
Lincoln Financial Field,16,13.29
Lincoln Financial Field,17,11.96
Lincoln Financial Field,18,18.11
Lincoln Financial Field,19,16.6
Lincoln Financial Field,20,17.0
Lincoln Financial Field,21,22.16
Lincoln Financial Field,22,20.37
Lincoln Financial Field,23,23.53
Lincoln Financial Field,24,22.71
Lincoln Financial Field,25,27.76
Lincoln Financial Field,26,26.49
Lincoln Financial Field,27,26.71
Lincoln Financial Field,28,28.14
Lincoln Financial Field,29,26.89
Lincoln Financial Field,30,25.07
Lincoln Financial Field,31,26.87
Lincoln Financial Field,32,25.11
Lincoln Financial Field,33,23.26
Lincoln Financial Field,34,20.49
Lincoln Financial Field,35,24.46
Lincoln Financial Field,36,19.23
Lincoln Financial Field,37,20.51
Lincoln Financial Field,38,21.26
Lincoln Financial Field,39,19.71
Lincoln Financial Field,40,18.4
Lincoln Financial Field,41,15.79
Lincoln Financial Field,42,12.23
Lincoln Financial Field,43,14.84
Lincoln Financial Field,44,14.17
Lincoln Financial Field,45,14.4
